CLDR,Meaning,Note,Unicode
flag-mayotte,"['The flag for\xa0Mayotte, which may show as the letters\xa0YT\xa0on some platforms.']",['\nThe Flag: Mayotte emoji is a flag sequence combining 🇾 Regional Indicator Symbol Letter Y and 🇹 Regional Indicator Symbol Letter T.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Mayotte was added to Emoji 1.0 in 2015.\n']
flag-mexico,"['The flag for\xa0Mexico, which may show as the letters\xa0MX\xa0on some platforms.']",['\nThe Flag: Mexico emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇽 Regional Indicator Symbol Letter X.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Mexico was added to Emoji 1.0 in 2015.\n']
flag-micronesia,"['The flag for\xa0Micronesia, which may show as the letters\xa0FM\xa0on some platforms.']",['\nThe Flag: Micronesia emoji is a flag sequence combining 🇫 Regional Indicator Symbol Letter F and 🇲 Regional Indicator Symbol Letter M.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Micronesia was added to Emoji 1.0 in 2015.\n']
flag-moldova,"['The flag for\xa0Moldova, which may show as the letters\xa0MD\xa0on some platforms.']",['\nThe Flag: Moldova emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇩 Regional Indicator Symbol Letter D.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Moldova was added to Emoji 1.0 in 2015.\n']
flag-monaco,"['The flag for\xa0Monaco, which may show as the letters\xa0MC\xa0on some platforms.']",['\nThe Flag: Monaco emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇨 Regional Indicator Symbol Letter C.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Monaco was added to Emoji 1.0 in 2015.\n']
flag-mongolia,"['The flag for\xa0Mongolia, which may show as the letters\xa0MN\xa0on some platforms.']",['\nThe Flag: Mongolia emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇳 Regional Indicator Symbol Letter N.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Mongolia was added to Emoji 1.0 in 2015.\n']
flag-montenegro,"['The flag for\xa0Montenegro, which may show as the letters\xa0ME\xa0on some platforms']",['\nThe Flag: Montenegro emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇪 Regional Indicator Symbol Letter E.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Montenegro was added to Emoji 1.0 in 2015.\n']
flag-montserrat,"['The flag for\xa0Montserrat, which may show as the letters\xa0MS\xa0on some platforms.']",['\nThe Flag: Montserrat emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇸 Regional Indicator Symbol Letter S.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Montserrat was added to Emoji 1.0 in 2015.\n']
flag-morocco,"['The flag for\xa0Morocco, which may show as the letters\xa0MA\xa0on some platforms.']",['\nThe Flag: Morocco emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇦 Regional Indicator Symbol Letter A.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Morocco was added to Emoji 1.0 in 2015.\n']
flag-mozambique,"['The flag for\xa0Mozambique, which may show as the letters\xa0MZ\xa0on some platforms.']",['\nThe Flag: Mozambique emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇿 Regional Indicator Symbol Letter Z.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Mozambique was added to Emoji 1.0 in 2015.\n']
flag-myanmar-burma,"['The flag for\xa0Myanmar, which may show as the letters\xa0MM\xa0on some platforms.']",['\nThe Flag: Myanmar (Burma) emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Myanmar (Burma) was added to Emoji 1.0 in 2015.\n']
flag-namibia,"['The flag for\xa0Namibia, which may show as the letters\xa0NA\xa0on some platforms.']",['\nThe Flag: Namibia emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇦 Regional Indicator Symbol Letter A.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Namibia was added to Emoji 1.0 in 2015.\n']
flag-nauru,"['The flag for\xa0Nauru, which may show as the letters\xa0NR\xa0on some platforms.']",['\nThe Flag: Nauru emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇷 Regional Indicator Symbol Letter R.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Nauru was added to Emoji 1.0 in 2015.\n']
flag-nepal,"['The flag for\xa0Nepal, which may show as the letters\xa0NP\xa0on some platforms.']",['\nThe Flag: Nepal emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇵 Regional Indicator Symbol Letter P.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Nepal was added to Emoji 1.0 in 2015.\n']
flag-netherlands,"['The flag for\xa0Netherlands, which may show as the letters\xa0NL\xa0on some platforms.']",['\nThe Flag: Netherlands emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇱 Regional Indicator Symbol Letter L.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Netherlands was added to Emoji 1.0 in 2015.\n']
flag-new-caledonia,"['The flag for\xa0New Caledonia, which may show as the letters\xa0NC\xa0on some platforms.']",['\nThe Flag: New Caledonia emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇨 Regional Indicator Symbol Letter C.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: New Caledonia was added to Emoji 1.0 in 2015.\n']
flag-new-zealand,"['The flag for\xa0New Zealand, which may show as the letters\xa0NZ\xa0on some platforms.']",['\nThe Flag: New Zealand emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇿 Regional Indicator Symbol Letter Z.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: New Zealand was added to Emoji 1.0 in 2015.\n']
flag-nicaragua,"['The flag for\xa0Nicaragua, which may show as the letters\xa0NI\xa0on some platforms.']",['\nThe Flag: Nicaragua emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇮 Regional Indicator Symbol Letter I.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Nicaragua was added to Emoji 1.0 in 2015.\n']
flag-niger,"['The flag for\xa0Niger, which may show as the letters\xa0NE\xa0on some platforms.']",['\nThe Flag: Niger emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇪 Regional Indicator Symbol Letter E.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Niger was added to Emoji 1.0 in 2015.\n']
flag-nigeria,"['The flag for\xa0Nigeria, which may show as the letters\xa0NG\xa0on some platforms.']",['\nThe Flag: Nigeria emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇬 Regional Indicator Symbol Letter G.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Nigeria was added to Emoji 1.0 in 2015.\n']
flag-niue,"['The flag for\xa0Niue, which may show as the letters\xa0NU\xa0on some platforms.']",['\nThe Flag: Niue emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇺 Regional Indicator Symbol Letter U.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Niue was added to Emoji 1.0 in 2015.\n']
flag-norfolk-island,"['The flag for\xa0Norfolk Island, which may show as the letters\xa0NF\xa0on some platforms.']",['\nThe Flag: Norfolk Island emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇫 Regional Indicator Symbol Letter F.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Norfolk Island was added to Emoji 1.0 in 2015.\n']
flag-north-korea,"['The flag for\xa0North Korea, which may show as the letters\xa0KP\xa0on some platforms.']",['\nThe Flag: North Korea emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇵 Regional Indicator Symbol Letter P.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: North Korea was added to Emoji 1.0 in 2015.\n']
flag-north-macedonia,"['The flag for\xa0North\xa0Macedonia\xa0(until 2019: Macedonia), which may show as the letters\xa0MK\xa0on some platforms.', 'Displays\xa0a stylized yellow sun on a red background, with eight rays extending from the center to each edge.']",['\nThe Flag: North Macedonia emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇰 Regional Indicator Symbol Letter K.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: North Macedonia was added to Emoji 1.0 in 2015.\n']
flag-northern-mariana-islands,"['The flag for\xa0Northern Mariana Islands, which may show as the letters\xa0MP\xa0on some platforms.']",['\nThe Flag: Northern Mariana Islands emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇵 Regional Indicator Symbol Letter P.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Northern Mariana Islands was added to Emoji 1.0 in 2015.\n']
flag-norway,"['The flag for\xa0Norway, which may show as the letters\xa0NO\xa0on some platforms.']",['\nThe Flag: Norway emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇴 Regional Indicator Symbol Letter O.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Norway was added to Emoji 1.0 in 2015.\n']
flag-oman,"['The flag for\xa0Oman, which may show as the letters\xa0OM\xa0on some platforms.']",['\nThe Flag: Oman emoji is a flag sequence combining 🇴 Regional Indicator Symbol Letter O and 🇲 Regional Indicator Symbol Letter M.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Oman was added to Emoji 1.0 in 2015.\n']
flag-pakistan,"['The flag for\xa0Pakistan, which may show as the letters\xa0PK\xa0on some platforms.']",['\nThe Flag: Pakistan emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇰 Regional Indicator Symbol Letter K.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Pakistan was added to Emoji 1.0 in 2015.\n']
flag-palau,"['The flag for\xa0Palau, which may show as the letters\xa0PW\xa0on some platforms.']",['\nThe Flag: Palau emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇼 Regional Indicator Symbol Letter W.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Palau was added to Emoji 1.0 in 2015.\n']
flag-palestinian-territories,[],['\nThe Flag: Palestinian Territories emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇸 Regional Indicator Symbol Letter S.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Palestinian Territories was added to Emoji 1.0 in 2015.\n']
flag-panama,"['The flag for Panama, which may show as the letters\xa0PA\xa0on some platforms.']",['\nThe Flag: Panama emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇦 Regional Indicator Symbol Letter A.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Panama was added to Emoji 1.0 in 2015.\n']
flag-papua-new-guinea,"['The flag for Papua New Guinea, which may show as the letters\xa0PG\xa0on some platforms.']",['\nThe Flag: Papua New Guinea emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇬 Regional Indicator Symbol Letter G.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Papua New Guinea was added to Emoji 1.0 in 2015.\n']
flag-paraguay,"['The flag for Paraguay, which may show as the letters\xa0PY\xa0on some platforms.']",['\nThe Flag: Paraguay emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇾 Regional Indicator Symbol Letter Y.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Paraguay was added to Emoji 1.0 in 2015.\n']
flag-peru,"['The flag for Peru, which may show as the letters\xa0PE\xa0on some platforms.']",['\nThe Flag: Peru emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇪 Regional Indicator Symbol Letter E.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Peru was added to Emoji 1.0 in 2015.\n']
flag-philippines,"['The flag for Philippines, which may show as the letters\xa0PH\xa0on some platforms.']",['\nThe Flag: Philippines emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇭 Regional Indicator Symbol Letter H.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Philippines was added to Emoji 1.0 in 2015.\n']
flag-pitcairn-islands,[],['\nThe Flag: Pitcairn Islands emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇳 Regional Indicator Symbol Letter N.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Pitcairn Islands was added to Emoji 1.0 in 2015.\n']
flag-poland,"['The flag for Poland, which may show as the letters\xa0PL\xa0on some platforms.']",['\nThe Flag: Poland emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇱 Regional Indicator Symbol Letter L.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Poland was added to Emoji 1.0 in 2015.\n']
flag-portugal,"['The flag for Portugal, which may show as the letters\xa0PT\xa0on some platforms.']",['\nThe Flag: Portugal emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇹 Regional Indicator Symbol Letter T.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Portugal was added to Emoji 1.0 in 2015.\n']
flag-puerto-rico,"['The flag for Puerto Rico, which may show as the letters\xa0PR\xa0on some platforms.']",['\nThe Flag: Puerto Rico emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇷 Regional Indicator Symbol Letter R.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Puerto Rico was added to Emoji 1.0 in 2015.\n']
flag-qatar,"['The flag for Qatar, which may show as the letters\xa0QA\xa0on some platforms.']",['\nThe Flag: Qatar emoji is a flag sequence combining 🇶 Regional Indicator Symbol Letter Q and 🇦 Regional Indicator Symbol Letter A.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Qatar was added to Emoji 1.0 in 2015.\n']
flag-romania,"['The flag for Romania, which may show as the letters\xa0RO\xa0on some platforms.']",['\nThe Flag: Romania emoji is a flag sequence combining 🇷 Regional Indicator Symbol Letter R and 🇴 Regional Indicator Symbol Letter O.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Romania was added to Emoji 1.0 in 2015.\n']
flag-russia,"['The flag for Russia, which may show as the letters\xa0RU\xa0on some platforms.']",['\nThe Flag: Russia emoji is a flag sequence combining 🇷 Regional Indicator Symbol Letter R and 🇺 Regional Indicator Symbol Letter U.\nThese display as a single emoji on supported platforms.\n'],['\nFlag: Russia was added to Emoji 1.0 in 2015.\n']
